state,year,number_of_guns_per_capita,number_of_guns_registered
Washington D.C.,2017,68.05,"47,228"
New Hampshire,2017,46.76,"64,135"
New Mexico,2017,46.73,"97,580"
Virginia,2017,36.34,"307,822"
Alabama,2017,33.15,"161,641"
Idaho,2017,28.86,"49,566"
Arkansas,2017,26.57,"79,841"
Nevada,2017,25.64,"76,888"
Arizona,2017,25.61,"179,738"
Louisiana,2017,24.94,"116,831"
South Dakota,2017,24.29,"21,130"
Utah,2017,23.48,"72,856"
Connecticut,2017,22.96,"82,400"
Alaska,2017,21.38,"15,824"
Montana,2017,21.06,"22,133"
South Carolina,2017,21.01,"105,601"
Texas,2017,20.79,"588,696"
West Virginia,2017,19.42,"35,264"
Pennsylvania,2017,18.45,"236,377"
Georgia,2017,18.22,"190,050"
Kentucky,2017,18.2,"81,068"
Oklahoma,2017,18.13,"71,269"
Kansas,2017,18.06,"52,634"
North Dakota,2017,17.56,"13,272"
Indiana,2017,17.1,"114,019"
Maryland,2017,17.03,"103,109"
Colorado,2017,16.48,"92,435"
Florida,2017,16.35,"343,288"
Ohio,2017,14.87,"173,405"
North Carolina,2017,14.818,"152,238"
Oregon,2017,14.816,"61,383"
Tennessee,2017,14.76,"99,159"
Minnesota,2017,14.22,"79,307"
Washington,2017,12.4,"91,835"
Missouri,2017,11.94,"72,996"
Mississippi,2017,11.89,"35,494"
Nebraska,2017,11.57,"22,234"
Maine,2017,11.5,"15,371"
Illinois,2017,11.44,"146,487"
Wisconsin,2017,11.19,"64,878"
Vermont,2017,9.41,"5,872"
Iowa,2017,9.05,"28,494"
California,2017,8.71,"344,622"
Michigan,2017,6.59,"65,742"
New Jersey,2017,6.38,"57,507"
Hawaii,2017,5.5,"7,859"
Massachusetts,2017,5.41,"37,152"
Delaware,2017,5.04,"4,852"
Rhode Island,2017,3.98,"37,152"
New York,2017,3.83,"76,207"
