"state","precipitation_inches"
"Alabama",56
"Alaska",55
"Arizona",13
"Arkansas",49
"California",22
"Colorado",15
"Connecticut",47
"Delaware",45
"Florida",54
"Georgia",50
"Hawaii",110
"Idaho",19
"Illinois",38
"Indiana",40
"Iowa",32
"Kansas",27
"Kentucky",47
"Louisiana",57
"Maine",41
"Maryland",43
"Massachusetts",45
"Michigan",32
"Minnesota",26
"Mississippi",56
"Missouri",40
"Montana",15
"Nebraska",22
"Nevada",22
"New Hampshire",42
"New Jersey",45
"New Mexico",13
"New York",39
"North Carolina",50
"North Dakota",17
"Ohio",38
"Oklahoma",33
"Oregon",28
"Pennsylvania",41
"Rhode Island",44
"South Carolina",48
"South Dakota",18
"Tennessee",52
"Texas",27
"Utah",12
"Vermont",39
"Virginia",43
"Washington",38
"West Virginia",44
"Wisconsin",31
"Wyoming",13
