state,suicide,gun,alcohol,temperature,precipitation,marijuana,education,gdp,gender
Alabama,17.129094084267347,33.15,1.99,62.36695652173913,56,10.63,24.524474331456307,36856,48.409404631666014
Alaska,27.034516318709912,21.38,2.81,37.716,55,23.43,28.987973296427327,67705,52.283673179732226
Arizona,18.884678041181427,25.61,2.3,63.374545454545455,13,14.14,28.445686892115564,38414,49.71731418545752
Arkansas,21.003375518718467,26.57,1.82,60.80842105263158,49,12.78,22.028130145988712,36196,49.1320546460565
California,10.875983862366903,8.71,2.3,59.457142857142856,22,17.81,32.57597120830642,57328,49.69452775883684
Colorado,21.008875447330322,16.48,2.85,45.96857142857143,15,25.650000000000002,39.42979607068546,52622,50.334501246086695
Connecticut,11.287046595157884,22.96,2.4,48.68833333333333,47,16.37,38.43084114523382,63747,48.82135364295699
Delaware,11.643149929465382,5.04,3.6,55.785,45,14.92,30.9680142431777,64040,48.393297288081676
Florida,15.339966832504146,16.35,2.63,71.20533333333333,54,13.71,28.451231051594235,39093,48.87830483597339
Georgia,13.903032961022895,18.22,1.92,63.47,50,11.78,29.931028981034164,43913,48.66547663096719
Hawaii,15.901503147376813,5.5,2.65,71.9725,110,13.29,32.0373455786736,50320,50.162377463857354
Idaho,22.831276285817292,28.86,2.92,46.567,19,12.7,26.765936396157752,35467,50.11569982230045
Illinois,11.498182748148476,11.44,2.38,51.59037037037037,38,13.88,33.44746799561832,53432,49.15221602085858
Indiana,16.379628182440257,17.1,2.11,51.42777777777778,40,14.540000000000001,25.31915336732235,44797,49.305305769559034
Iowa,15.195292892449434,9.05,2.4,47.89,32,11.51,27.681276880953465,50086,49.74179128343322
Kansas,18.948736459119647,18.06,1.97,55.12833333333333,27,11.95,32.34922016323385,46890,49.8419050620245
Kentucky,17.197294501872282,18.2,1.97,56.23947368421052,47,12.950000000000001,23.19229227523015,38603,49.2641421367616
Louisiana,15.370384641740884,24.94,2.56,66.59791666666666,57,12.48,23.397019924199626,44293,48.8745356062432
Maine,20.510409781519222,11.5,2.84,43.928,41,22.46,30.281057054207427,38450,48.99442850437942
Maryland,10.409477449188945,17.03,2.13,56.59166666666667,43,15.65,38.99463963098353,54894,48.48096808801196
Massachusetts,9.941953278942199,5.41,2.58,47.215,45,20.28,42.08745030315289,64507,48.5488757064873
Michigan,14.61508278551031,6.59,2.34,46.656,32,16.94,28.08108426642254,42631,49.22303670303005
Minnesota,13.951138021943812,14.22,2.77,44.048947368421054,26,13.780000000000001,34.76310663074321,53380,49.79455245717557
Mississippi,14.845347005797393,11.89,2.2,63.67739130434783,56,11.48,21.334174462361606,31633,48.45273281726484
Missouri,18.82708718953299,11.94,2.53,54.86142857142857,40,13.95,28.186587561756,42943,49.108044253305614
Montana,29.60514729750698,21.06,3.11,44.0525,15,19.86,30.72910377472408,39686,50.353119916077496
Nebraska,14.322349740322778,11.57,2.2,49.74454545454545,22,11.46,30.591599248526148,52878,49.90068101470983
Nevada,20.91367056932882,25.64,3.43,50.84375,22,17.06,23.684733359315416,43649,50.157753117954776
New Hampshire,19.734955819764,46.76,4.74,44.694,42,18.9,36.03708895750907,50456,49.5242386216809
New Jersey,8.827797323545102,6.38,2.33,54.1625,45,12.21,38.09134741978802,56472,48.820206528261615
New Mexico,23.514537347885845,46.73,2.16,53.87315789473684,13,17.71,26.873620289078843,41577,49.52630898389422
New York,8.544339302162246,3.83,2.2,46.174615384615386,39,14.74,35.28936683032462,64093,48.552915884254226
North Carolina,14.805197763276276,14.818,2.13,58.80461538461538,50,12.23,29.859989198189634,44096,48.68328645020708
North Dakota,20.386739088130284,17.56,3.15,41.538000000000004,17,11.02,28.892459164967356,67305,51.27119261099852
Ohio,14.907438786222267,14.87,2.02,50.45131578947368,38,13.919999999999998,27.23866812877544,46826,49.00327303197148
Oklahoma,19.232413026754422,18.13,1.87,59.86333333333333,33,12.18,24.843038228493732,45864,49.545392565095106
Oregon,19.89004474294531,14.816,2.76,51.038823529411765,28,27.38,32.27098525243276,49792,49.55587750822154
Pennsylvania,15.844708425738023,18.45,2.34,48.902424242424246,41,13.47,30.08365000355055,50418,48.97357291615338
Rhode Island,12.173957357175416,3.98,2.59,53.017781641987455,44,21.24,32.96432964329643,47118,48.600608320380815
South Carolina,16.67871129688126,21.01,2.19,61.63952380952381,48,11.14,27.00507366939088,36796,48.51727649780499
South Dakota,21.962454551517478,24.29,2.86,45.93363636363636,18,12.33,27.847414846460524,47706,50.47454999965504
Tennessee,17.346676227936218,14.76,2.11,57.8212,52,13.55,26.053054070046556,42797,48.7786450950449
Texas,13.315858668323688,20.79,2.34,65.40705882352941,27,10.67,28.705576251669275,54421,49.680246275198556
Utah,21.374458263871716,23.48,1.36,48.58222222222222,12,10.58,32.53710364926653,44204,50.34726240903362
Vermont,17.79824486857359,9.41,3.1,44.7975,39,24.34,36.79881251427267,43495,49.42716910096415
Virginia,13.884264736092712,36.34,2.12,54.194,43,11.92,37.5565086744479,51716,49.19382716923927
Washington,17.472926079125347,12.4,2.24,50.433157894736844,38,23.21,34.46342003919482,55780,50.008122074989636
West Virginia,21.587602988561326,19.42,1.74,52.973333333333336,44,13.100000000000001,19.898582708815653,36453,49.48737703464535
Wisconsin,15.960705949788826,11.19,2.99,45.232727272727274,31,12.710000000000003,29.031075158093422,46859,49.741117349494424
Wyoming,27.10097270051699,17.630285714285716,2.68,43.48125,13,12.19,26.74973045440627,60908,50.99781638659451
