"state","mean_temperature_F"
" Alabama",62.3669565217391
" Alaska",37.716
" Arizona",63.3745454545455
" Arkansas",60.8084210526316
" California",59.4571428571429
" Colorado",45.9685714285714
" Connecticut",48.6883333333333
" Delaware",55.785
" Florida",71.2053333333333
" Georgia",63.47
" Hawaii",71.9725
" Idaho",46.567
" Illinois",51.5903703703704
" Indiana",51.4277777777778
" Iowa",47.89
" Kansas",55.1283333333333
" Kentucky",56.2394736842105
" Louisiana",66.5979166666667
" Maine",43.928
" Maryland",56.5916666666667
" Massachusetts",47.215
" Michigan",46.656
" Minnesota",44.0489473684211
" Mississippi",63.6773913043478
" Missouri",54.8614285714286
" Montana",44.0525
" Nebraska",49.7445454545455
" Nevada",50.84375
" New Hampshire",44.694
" New Jersey",54.1625
" New Mexico",53.8731578947368
" New York",46.1746153846154
" North Carolina",58.8046153846154
" North Dakota",41.538
" Ohio",50.4513157894737
" Oklahoma",59.8633333333333
" Oregon",51.0388235294118
" Pennsylvania",48.9024242424242
" Rhode Island",NA
" South Carolina",61.6395238095238
" South Dakota",45.9336363636364
" Tennessee",57.8212
" Texas",65.4070588235294
" Utah",48.5822222222222
" Vermont",44.7975
" Virginia",54.194
" Washington",50.4331578947368
" West Virginia",52.9733333333333
" Wisconsin",45.2327272727273
" Wyoming",43.48125
